Gene_Name
APOL1
CD2AP
XXbac-BPG248L24.12
DDX3Y
DDX60
RPL13AP6
XDH
PTMAP5
SNORA63
CXCL13
NPR1
HSPB8
WARS
PSME2
NUB1
UBTD1
NLGN4Y
CD36
TRDC
SYTL3
HIST1H2AJ
MIR612
SRPK1
HIST1H4I
IGHV1-18
NAA10
EGR1
SCARNA3
RP11-843B15.2
JUNB
RPSAP58
IL2RG
RP11-44K6.4
HIST1H2AB
PLS3
SLC11A2
SLC2A3
HIST1H3C
RPL7
SNORA17A
LARGE2
IDO1
DDX43
SDF4
S100A4
TCF7L1
STAT1
NUPL2
ACSS2
MRPL1
PDZD2
FLG
CELSR2
PPIAP22
EEF1A1P6
CXCL9
CXCL11
UBD
VGF
