Mean CV Accuracy	Test Accuracy	F1 Score	AUC Accuracy	Combination
0.6071146245059288	0.6071428571428571	0.0	0.5401069518716577	filtered_SNP_Data
0.6438735177865611	0.42857142857142855	0.20000000000000004	0.3277777777777778	filtered_CNA_Data
0.8210526315789473	0.5833333333333334	0.28571428571428575	0.7272727272727273	filtered_mRNA_Data
0.6162055335968379	0.5714285714285714	0.4000000000000001	0.5611111111111111	ProcessedClinicalData
0.6631578947368422	0.75	0.625	0.8321678321678321	FinalCibersortData
0.6071146245059288	0.6071428571428571	0.0	0.5695187165775402	filtered_SNP_Data + filtered_CNA_Data
0.736842105263158	0.625	0.5714285714285715	0.7851851851851852	filtered_SNP_Data + filtered_mRNA_Data
0.6158102766798419	0.5714285714285714	0.0	0.45989304812834225	filtered_SNP_Data + ProcessedClinicalData
0.6	0.625	0.0	0.40740740740740733	filtered_SNP_Data + FinalCibersortData
0.7263157894736841	0.75	0.6666666666666665	0.7642857142857142	filtered_CNA_Data + filtered_mRNA_Data
0.6067193675889329	0.6428571428571429	0.0	0.55	filtered_CNA_Data + ProcessedClinicalData
0.6105263157894737	0.5833333333333334	0.0	0.37142857142857144	filtered_CNA_Data + FinalCibersortData
0.7578947368421053	0.625	0.39999999999999997	0.7482517482517483	filtered_mRNA_Data + ProcessedClinicalData
0.768421052631579	0.625	0.39999999999999997	0.8181818181818181	filtered_mRNA_Data + FinalCibersortData
0.631578947368421	0.4166666666666667	0.22222222222222224	0.4357142857142857	ProcessedClinicalData + FinalCibersortData
0.7789473684210527	0.7083333333333334	0.5333333333333333	0.7555555555555555	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data
0.6158102766798419	0.6071428571428571	0.0	0.53475935828877	filtered_SNP_Data + filtered_CNA_Data + ProcessedClinicalData
0.6	0.625	0.0	0.4148148148148148	filtered_SNP_Data + filtered_CNA_Data + FinalCibersortData
0.7263157894736842	0.7083333333333334	0.5882352941176471	0.6814814814814814	filtered_SNP_Data + filtered_mRNA_Data + ProcessedClinicalData
0.7263157894736842	0.75	0.6666666666666666	0.8222222222222222	filtered_SNP_Data + filtered_mRNA_Data + FinalCibersortData
0.6	0.625	0.0	0.3555555555555555	filtered_SNP_Data + ProcessedClinicalData + FinalCibersortData
0.7052631578947368	0.6666666666666666	0.5555555555555556	0.7142857142857143	filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData
0.736842105263158	0.625	0.5714285714285713	0.6857142857142857	filtered_CNA_Data + filtered_mRNA_Data + FinalCibersortData
0.6631578947368421	0.625	0.4	0.46428571428571425	filtered_CNA_Data + ProcessedClinicalData + FinalCibersortData
0.7684210526315789	0.5833333333333334	0.28571428571428575	0.7972027972027972	filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
0.7368421052631579	0.6666666666666666	0.5555555555555556	0.6296296296296295	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData
0.7263157894736842	0.7083333333333334	0.5882352941176471	0.7925925925925925	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data + FinalCibersortData
0.6210526315789473	0.4583333333333333	0.380952380952381	0.5222222222222221	filtered_SNP_Data + filtered_CNA_Data + ProcessedClinicalData + FinalCibersortData
0.7263157894736842	0.75	0.6666666666666666	0.7629629629629628	filtered_SNP_Data + filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
0.7052631578947368	0.6666666666666666	0.5555555555555556	0.6642857142857144	filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
0.7368421052631579	0.625	0.5714285714285715	0.7037037037037037	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
