Mean CV Accuracy	Test Accuracy	F1 Score	AUC Accuracy	Combination
0.8130434782608695	0.7142857142857143	0.6	0.8048128342245989	filtered_SNP_Data
0.724901185770751	0.75	0.6666666666666666	0.8111111111111111	filtered_CNA_Data
0.8526315789473683	0.5833333333333334	0.37499999999999994	0.7412587412587412	filtered_mRNA_Data
0.6177865612648221	0.5357142857142857	0.48	0.55	ProcessedClinicalData
0.631578947368421	0.5833333333333334	0.4444444444444444	0.6853146853146853	FinalCibersortData
0.8308300395256918	0.75	0.631578947368421	0.7834224598930482	filtered_SNP_Data + filtered_CNA_Data
0.8315789473684211	0.7916666666666666	0.6666666666666667	0.8518518518518519	filtered_SNP_Data + filtered_mRNA_Data
0.7407114624505928	0.5714285714285714	0.33333333333333326	0.7005347593582887	filtered_SNP_Data + ProcessedClinicalData
0.7263157894736842	0.6666666666666666	0.3333333333333333	0.7037037037037037	filtered_SNP_Data + FinalCibersortData
0.7894736842105263	0.7916666666666666	0.6666666666666666	0.9285714285714286	filtered_CNA_Data + filtered_mRNA_Data
0.6616600790513834	0.7142857142857143	0.6	0.7444444444444445	filtered_CNA_Data + ProcessedClinicalData
0.7157894736842105	0.6666666666666666	0.5	0.7285714285714285	filtered_CNA_Data + FinalCibersortData
0.8315789473684211	0.625	0.39999999999999997	0.7692307692307693	filtered_mRNA_Data + ProcessedClinicalData
0.8421052631578947	0.5833333333333334	0.37499999999999994	0.8111888111888111	filtered_mRNA_Data + FinalCibersortData
0.6947368421052631	0.5416666666666666	0.3529411764705882	0.45	ProcessedClinicalData + FinalCibersortData
0.7894736842105263	0.8333333333333334	0.75	0.8666666666666667	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data
0.7320158102766798	0.6785714285714286	0.4705882352941177	0.6096256684491979	filtered_SNP_Data + filtered_CNA_Data + ProcessedClinicalData
0.7473684210526315	0.7083333333333334	0.46153846153846156	0.7777777777777778	filtered_SNP_Data + filtered_CNA_Data + FinalCibersortData
0.7894736842105263	0.75	0.5714285714285714	0.8148148148148148	filtered_SNP_Data + filtered_mRNA_Data + ProcessedClinicalData
0.8210526315789473	0.7083333333333334	0.631578947368421	0.8074074074074074	filtered_SNP_Data + filtered_mRNA_Data + FinalCibersortData
0.7263157894736842	0.625	0.4	0.6666666666666666	filtered_SNP_Data + ProcessedClinicalData + FinalCibersortData
0.8210526315789475	0.7916666666666666	0.6666666666666666	0.8892857142857142	filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData
0.7684210526315789	0.75	0.5714285714285715	0.9071428571428571	filtered_CNA_Data + filtered_mRNA_Data + FinalCibersortData
0.7263157894736842	0.5833333333333334	0.37499999999999994	0.5714285714285715	filtered_CNA_Data + ProcessedClinicalData + FinalCibersortData
0.8315789473684211	0.5833333333333334	0.37499999999999994	0.7972027972027972	filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
0.7789473684210526	0.75	0.5714285714285714	0.8592592592592592	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData
0.8	0.8333333333333334	0.75	0.8518518518518519	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data + FinalCibersortData
0.7368421052631579	0.7916666666666666	0.7058823529411765	0.725925925925926	filtered_SNP_Data + filtered_CNA_Data + ProcessedClinicalData + FinalCibersortData
0.8210526315789473	0.75	0.5714285714285714	0.8296296296296296	filtered_SNP_Data + filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
0.768421052631579	0.7083333333333334	0.5333333333333333	0.8214285714285714	filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
0.7789473684210526	0.75	0.5714285714285714	0.8518518518518519	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
